marca_temporal,modalidad,trabajo,tipo_de_trabajo,devops,codificar_por_trabajo,experiencia_en_ti,experiencia_en_codificación_,primera_línea_de_código_en_una_máquina,educación,carreras_o_especialidades,importancia_educación_formal,género,edad_actual_,salario_mensual,programación_scripting_y_lenguajes_de_marcado,librerías_o_web_frameworks,otras_frameworks_librerías_y_herramientas,base_de_datos,plataformas,lenguaje_favorito,lenguaje_más_odiado,framework_favorito,framework_más_odiado,herramientas
2021/03/01 6:02:15 p. m. GMT-3,Hibrído,Nacional (Paraguay),Dev full-stack,,Sí,<5,<5,<10,Ed. Secundaria,Programación;Análisis de Sistemas,+ || -,,20-24,5.000.000 a 7.000.000 Gs.,JavaScript;TypeScript;Java;HTML/CSS,Angular;Express;Spring,Node.js,MongoDB;Firebase,GNU/Linux;Microsoft Windows,TypeScript,PHP,Angular,JQuery,GitHub;Slack;GitLab;Microsoft Team
2021/03/01 6:02:24 p. m. GMT-3,Presencial,Nacional (Paraguay),Dev front-end,Sys Admin,Sí,5-9,<5,14-15,Ed. Universitaria,Ing. Informática,MUY,HOMBRE,30-34,2.192.839 Gs.,JavaScript;HTML/CSS,Angular,,PostgreSQL,GNU/Linux;Microsoft Windows,JavaScript,Java,React.js,Angular,GitHub
2021/03/01 6:02:30 p. m. GMT-3,Presencial,Nacional (Paraguay),Dev full-stack;Aps de escritorio o empresariales;DB Admin,Sys Admin,Sí,5-9,5-9,<10,Ed. Universitaria,Ing. Informática,BASTANTE,HOMBRE,30-34,9.000.000 a 12.000.000 Gs.,Oracle form,,,Oracle,GNU/Linux;Microsoft Windows,Oracle form,Java,,,
2021/03/01 6:02:58 p. m. GMT-3,Presencial,Nacional (Paraguay),Dev back-end;Dev front-end;Dev full-stack;Dev mobile,,Sí,<5,<5,<10,Ed. Universitaria,Ing. Informática,+ || -,MUJER,30-34,2.192.839 gs a 3.500.000 Gs.,JavaScript;PHP;Python;HTML/CSS,React.js;JQuery;Django,,MySQL;PostgreSQL,GNU/Linux;Microsoft Windows,Python,Oracle form,Django,,GitHub;GitLab
2021/03/01 6:07:52 p. m. GMT-3,Remoto,Nacional (Paraguay),Dev back-end;Dev front-end,,Sí,5-9,<5,10-11,Ed. Universitaria,Análisis de Sistemas,MUY,HOMBRE,30-34,2.192.839 gs a 3.500.000 Gs.,JavaScript;TypeScript;PHP;Python;Java;HTML/CSS;SQL;Bash/Shell/PowerShell,Angular;Angular.js;JQuery;Express;Spring;Django;CodeIgniter,Node.js;.NET,MySQL;MariaDB;PostgreSQL;Microsoft SQL Server;MongoDB;Oracle,GNU/Linux;Microsoft Windows,Java,Genexus,Angular,ASP.NET Core,GitHub;GitLab;Google Suite;Trello
2021/03/01 6:07:56 p. m. GMT-3,Hibrído,Nacional (Paraguay),Dev back-end;Dev mobile;Aps de escritorio o empresariales,,No,5-9,5-9,<10,Ed. Universitaria,Programación;Ing. Informática,+ || -,HOMBRE,30-34,9.000.000 a 12.000.000 Gs.,JavaScript;Kotlin;Scala;Oracle form,React.js;Express,Node.js;Flutter,MySQL;PostgreSQL;SQLite;MongoDB;Oracle,Microsoft Windows;Android;Heroku,Oracle form,Java,Express,ASP.NET,GitHub;Jira
2021/03/01 6:08:48 p. m. GMT-3,Remoto,Internacional,Dev full-stack,,Sí,10-14,10-14,14-15,Ed. Universitaria,Análisis de Sistemas,+ || -,HOMBRE,30-34,21.000.000 a 24.000.000 Gs.,JavaScript;TypeScript;Java;HTML/CSS;SQL,React.js;Angular.js;JQuery;Express;Spring,Node.js;React Native,MySQL;PostgreSQL;Microsoft SQL Server;MongoDB,GNU/Linux;MacOS;Docker;AWS;Android;Google Cloud Platform,JavaScript,C,React.js,ASP.NET Core,GitHub;Slack;GitLab;Jira;Google Suite
2021/03/01 6:11:09 p. m. GMT-3,Hibrído,Nacional (Paraguay),Dev back-end;Dev front-end;Dev full-stack;Dev de sistemas embebidos;Project Lead,Sys Admin;Diseñador,Sí,20-24,20-24,24-25,Ed. Basica;Ed. Secundaria;Ed. Universitaria,Análisis de Sistemas,BASTANTE,HOMBRE,40-44,3.500.000 a 5.000.000 Gs.,JavaScript;TypeScript;Java;HTML/CSS;SQL;Bash/Shell/PowerShell,Angular;Angular.js,Node.js,PostgreSQL,GNU/Linux;Docker;Kubernetes;Arduino,Java,Genexus,Angular,Ruby on Rails,GitHub;Jira;Confluence
2021/03/01 6:12:12 p. m. GMT-3,Presencial,Nacional (Paraguay),Dev full-stack;DB Admin,,Sí,5-9,5-9,16-17,Ed. Universitaria,Análisis de Sistemas,MUY,HOMBRE,20-24,5.000.000 a 7.000.000 Gs.,JavaScript;TypeScript;PHP;HTML/CSS;SQL;Bash/Shell/PowerShell,React.js;Express;Laravel,Node.js,MySQL;MariaDB;PostgreSQL,GNU/Linux;Microsoft Windows;Docker,JavaScript,PHP,React.js,,GitHub;Microsoft Team
2021/03/01 6:12:33 p. m. GMT-3,Hibrído,Nacional (Paraguay),Dev full-stack;Dev mobile;Aps de escritorio o empresariales,,Sí,<5,<5,<10,Ed. Universitaria,Análisis de Sistemas,+ || -,HOMBRE,20-24,5.000.000 a 7.000.000 Gs.,JavaScript;Python;C#;HTML/CSS;SQL,React.js;ASP.NET;Express;ASP.NET Core;Django,Node.js;.NET;React Native,MySQL;PostgreSQL;MongoDB;Oracle,Microsoft Windows;WordPress;Heroku,C#,PHP,React.js,Laravel,GitHub;Slack;GitLab;Jira;Google Suite;Confluence;Microsoft Team;Microsoft Azure;Trello
2021/03/01 6:13:58 p. m. GMT-3,Remoto,Ambas,Dev back-end;Dev front-end;Dev full-stack;Dev de sistemas embebidos;QA o testing;DB Admin;Project Lead,Sys Admin,Sí,35-39,35-39,>30,Ed. Basica;Ed. Secundaria;Master;Autodidacta,Programación;Análisis de Sistemas;Ing. Informática;Diseño Gráfico;Otras,+ || -,HOMBRE,45-49,21.000.000 a 24.000.000 Gs.,JavaScript;TypeScript;Python;Ruby;Java;C;C#;C++;Go;HTML/CSS;SQL;Bash/Shell/PowerShell;Assembly;Rust;Perl;VBA;Fox Pro,React.js;Angular.js;JQuery;Express;Django;Flask;Ruby on Rails,Node.js,MySQL;PostgreSQL;Microsoft SQL Server;SQLite;MongoDB;Oracle;Couchbase;Elasticsearch,GNU/Linux;Microsoft Windows;MacOS;Docker;AWS;Android;Raspberry Pi;Kubernetes;Arduino,,,,,GitHub;Slack;GitLab;Jira;Google Suite;Trello
2021/03/01 6:15:39 p. m. GMT-3,Hibrído,Internacional,Dev back-end;Dev front-end;Dev full-stack,Diseñador,Sí,5-9,5-9,14-15,Ed. Basica;Ed. Secundaria;Ed. Universitaria,Ninguna,BASTANTE,HOMBRE,30-34,9.000.000 a 12.000.000 Gs.,JavaScript;C#;SQL,JQuery;ASP.NET,.NET,MySQL;MariaDB;Microsoft SQL Server,GNU/Linux;Microsoft Windows,C#,VBA,ASP.NET,Angular,Jira;Confluence
2021/03/01 6:18:51 p. m. GMT-3,Hibrído,Nacional (Paraguay),Dev full-stack,Sys Admin,Sí,10-14,10-14,10-11,Ed. Universitaria,Ing. Informática,MUY,HOMBRE,30-34,12.000.000 a 15.000.000 Gs.,JavaScript;Python;Java;Go;SQL,React.js;Angular;Vue.js;Spring,Node.js;Ansible;Hadoop,MySQL;MariaDB;PostgreSQL;Microsoft SQL Server;SQLite;MongoDB;Redis;Oracle;Firebase;DynamoDB;Cassandra;Elasticsearch,GNU/Linux;Microsoft Windows;Docker;AWS;Google Cloud Platform;Kubernetes,Java,PHP,React.js,ASP.NET,GitHub;Slack;GitLab;Jira;Google Suite;Trello
2021/03/01 6:19:23 p. m. GMT-3,Remoto,Ambas,Dev full-stack;Dev de videojuegos,,Sí,10-14,10-14,10-11,Ed. Secundaria,Ninguna,NO,HOMBRE,35-39,12.000.000 a 15.000.000 Gs.,JavaScript;TypeScript;PHP;Python;C#;HTML/CSS;Dart,React.js;Angular.js;Express;Django;Laravel,Node.js;React Native;Unity 3D;Flutter,MySQL;PostgreSQL;SQLite;MongoDB;Firebase,MacOS;Google Cloud Platform;Heroku,JavaScript,,React.js,Laravel,GitHub;Slack;GitLab;Google Suite;Trello;Discord
2021/03/01 6:20:25 p. m. GMT-3,Hibrído,Nacional (Paraguay),Dev full-stack;Dev mobile,,Sí,10-14,10-14,12-13,Ed. Universitaria,Programación;Análisis de Sistemas,MUY,HOMBRE,30-34,7.000.000 a 9.000.000 Gs.,JavaScript;PHP;Python;Dart,React.js;JQuery;Vue.js;Django;Laravel;CodeIgniter;CakePHP;Ruby on Rails,Node.js;React Native;Flutter,MySQL;MariaDB;PostgreSQL;Elasticsearch,GNU/Linux;MacOS,PHP,Fox Pro,Laravel,CodeIgniter,GitHub;Slack;GitLab;Jira;Google Suite;Confluence;Trello
2021/03/01 6:25:46 p. m. GMT-3,Hibrído,Nacional (Paraguay),QA o testing,,Sí,10-14,<5,<10,Ed. Basica;Ed. Secundaria;Ed. Universitaria,Ing. Informática,BASTANTE,HOMBRE,20-24,2.192.839 gs a 3.500.000 Gs.,Python;C++;HTML/CSS,JQuery;ASP.NET;ASP.NET Core;Django,Node.js;.NET;Unity 3D;Unreal Engine,MySQL;MariaDB;PostgreSQL;Microsoft SQL Server;SQLite;Oracle,GNU/Linux;Microsoft Windows;MacOS;Android;Raspberry Pi;Microsoft Azure;WordPress;Google Cloud Platform;iOS,HTML/CSS,PHP,,,GitHub;GitLab;Jira;Google Suite;Microsoft Team;Discord
2021/03/01 6:26:23 p. m. GMT-3,Remoto,Nacional (Paraguay),Dev full-stack;Project Lead,,Sí,10-14,10-14,18-19,Ed. Universitaria,Programación;Análisis de Sistemas;Ing. Informática,MUY,HOMBRE,30-34,9.000.000 a 12.000.000 Gs.,JavaScript;PHP;Python;Java;C#;HTML/CSS;SQL;Bash/Shell/PowerShell;VBA,JQuery;ASP.NET;Spring,Pandas;Xamarin,MySQL;MariaDB;PostgreSQL;Microsoft SQL Server;SQLite;Oracle;IBM DB2,GNU/Linux;Microsoft Windows;Docker;Microsoft Azure;WordPress,Python,,ASP.NET,,GitHub;Slack;Microsoft Team;Microsoft Azure;Discord
2021/03/01 6:27:34 p. m. GMT-3,Presencial,Nacional (Paraguay),Dev full-stack;QA o testing,,Sí,<5,<5,18-19,Ed. Basica;Ed. Secundaria;Autodidacta,Ninguna,NO,HOMBRE,20-24,2.192.839 gs a 3.500.000 Gs.,JavaScript;TypeScript;PHP;Python;Java;C;C++;HTML/CSS;SQL,React.js;JQuery;Express;Spring;Django;Laravel,Node.js,MySQL;PostgreSQL;SQLite,GNU/Linux;Microsoft Windows;WordPress;Heroku,JavaScript,PHP,Django,JQuery,GitHub;Slack;Jira;Microsoft Team
2021/03/01 6:29:08 p. m. GMT-3,Remoto,Internacional,Dev full-stack,,Sí,5-9,<5,<10,Ed. Secundaria,Análisis de Sistemas,+ || -,HOMBRE,25-29,7.000.000 a 9.000.000 Gs.,JavaScript;TypeScript;Java;HTML/CSS;SQL;Bash/Shell/PowerShell,React.js;Angular;Vue.js;Spring;Flask,,MySQL;MariaDB;PostgreSQL;SQLite;Oracle,GNU/Linux;Microsoft Windows;Docker;AWS;Kubernetes,JavaScript,JavaScript,Angular,,Slack;GitLab;Jira;Google Suite;Confluence
2021/03/01 6:29:25 p. m. GMT-3,Ninguna,Nacional (Paraguay),Dev front-end,Inv. Cientifico;Diseñador,No,<5,<5,<10,Ed. Secundaria,Ninguna,+ || -,HOMBRE,20-24,< 2.192.839 Gs.,Python;HTML/CSS,,,PostgreSQL;SQLite,GNU/Linux;Microsoft Windows;Android,Python,Fox Pro,Django,CakePHP,GitHub;Google Suite;Discord
2021/03/01 6:30:19 p. m. GMT-3,Remoto,Nacional (Paraguay),Dev full-stack,Sys Admin,Sí,10-14,15-19,14-15,Ed. Basica;Ed. Secundaria;Ed. Universitaria,Ing. Informática;Otras,+ || -,HOMBRE,35-39,7.000.000 a 9.000.000 Gs.,JavaScript;PHP;Python;Go;HTML/CSS;SQL;Bash/Shell/PowerShell,JQuery;Vue.js;Laravel,Node.js;Flutter,MySQL;MariaDB;PostgreSQL;Microsoft SQL Server;MongoDB;Redis;Elasticsearch,GNU/Linux;MacOS;Docker;AWS;WordPress,Python,VBA,Laravel,ASP.NET,GitHub;Google Suite;Discord
2021/03/01 6:31:04 p. m. GMT-3,Presencial,Nacional (Paraguay),Dev back-end;Dev front-end;Dev full-stack;Aps de escritorio o empresariales;Project Lead,,Sí,25-29,25-29,26-27,Ed. Basica;Ed. Secundaria;Ed. Universitaria;Autodidacta,Programación;Análisis de Sistemas,+ || -,HOMBRE,45-49,9.000.000 a 12.000.000 Gs.,JavaScript;PHP;Java;HTML/CSS;SQL;Bash/Shell/PowerShell;Fox Pro;COBOL,,,MySQL;MariaDB;PostgreSQL;Microsoft SQL Server;Oracle;Cassandra;Couchbase,GNU/Linux;Microsoft Windows;Docker,Java,RPG,,Spring,GitHub;Slack;GitLab;Jira;Google Suite;Confluence
2021/03/01 6:32:57 p. m. GMT-3,Hibrído,Nacional (Paraguay),Dev back-end,,Sí,<5,5-9,10-11,Ed. Universitaria,Ing. Informática,MUY,HOMBRE,20-24,2.192.839 gs a 3.500.000 Gs.,SQL;Bash/Shell/PowerShell;Oracle form,,,Oracle,GNU/Linux;Microsoft Windows,Java,Assembly,Angular,,GitHub;Google Suite
2021/03/01 6:34:27 p. m. GMT-3,Presencial,Nacional (Paraguay),Dev full-stack,,Sí,<5,10-14,10-11,Ed. Universitaria,Programación,+ || -,HOMBRE,35-39,15.000.000 a 18.000.000 Gs.,JavaScript;TypeScript;Java;C;C#;HTML/CSS;SQL;Haskell;Oracle form;Genexus;COBOL,Angular;Angular.js;JQuery;Vue.js;Spring,Node.js;Flutter,MySQL;PostgreSQL;Microsoft SQL Server;SQLite;Oracle,GNU/Linux;Microsoft Windows;MacOS;Android;iOS,Java,Genexus,Spring,,GitHub;GitLab;Jira;Google Suite
2021/03/01 6:35:18 p. m. GMT-3,Hibrído,Nacional (Paraguay),Dev de sistemas embebidos,Educador,Sí,>50,25-29,16-17,Master,Programación;Análisis de Sistemas;Ing. Informática,BASTANTE,HOMBRE,55-59,3.500.000 a 5.000.000 Gs.,JavaScript;PHP;C++;HTML/CSS;SQL;Fox Pro;COBOL,Vue.js;Laravel,Flutter,MySQL;PostgreSQL;Microsoft SQL Server,GNU/Linux;Microsoft Windows,C++,Perl,Laravel,ASP.NET Core,GitHub;Google Suite
2021/03/01 6:38:11 p. m. GMT-3,Remoto,Nacional (Paraguay),Dev front-end,,Sí,10-14,5-9,<10,Ed. Basica;Ed. Secundaria;Autodidacta,Ninguna,+ || -,HOMBRE,30-34,3.500.000 a 5.000.000 Gs.,JavaScript;PHP;HTML/CSS,,,MySQL,AWS;WordPress,JavaScript,,,,GitHub;Trello
2021/03/01 6:38:51 p. m. GMT-3,Remoto,Nacional (Paraguay),Dev full-stack;Dev mobile;Project Lead,Sys Admin,Sí,5-9,5-9,12-13,Ed. Universitaria;Autodidacta,Ing. Electrónica,+ || -,HOMBRE,30-34,12.000.000 a 15.000.000 Gs.,JavaScript;TypeScript;PHP;HTML/CSS,Angular;JQuery;Vue.js;Laravel;Symfony,Node.js,MySQL;Microsoft SQL Server;MongoDB;Redis,GNU/Linux;MacOS,PHP,,Laravel,,GitHub;Slack;Trello
2021/03/01 6:38:53 p. m. GMT-3,Hibrído,Nacional (Paraguay),Dev back-end;Dev front-end;Dev full-stack;Aps de escritorio o empresariales;Project Lead,Sys Admin;Data Scientist ML Specialist,Sí,25-29,25-29,<10,Master,Ing. Informática,+ || -,HOMBRE,40-44,> 27.000.000 Gs.,JavaScript;TypeScript;PHP;Python;Java;Kotlin;C;C#;C++;HTML/CSS;SQL;Bash/Shell/PowerShell;Swift;Objective-C;Fox Pro,JQuery;ASP.NET;ASP.NET Core;Spring;Django;Flask,.NET;Pandas;TensorFlow,MySQL;MariaDB;PostgreSQL;Microsoft SQL Server;SQLite;MongoDB;Redis;Oracle;Firebase;IBM DB2;Elasticsearch,GNU/Linux;Microsoft Windows;MacOS;Docker;AWS;Android;Raspberry Pi;Microsoft Azure;WordPress;Google Cloud Platform;iOS;Kubernetes;Heroku;Arduino,Python,Bash/Shell/PowerShell,Spring,Angular.js,GitHub;Slack;GitLab;Jira;Google Suite;Confluence;Microsoft Team;Microsoft Azure;Trello;Discord
2021/03/01 6:42:18 p. m. GMT-3,Hibrído,Ambas,Dev back-end;Dev front-end;Dev full-stack;QA o testing;DB Admin;Project Lead,Sys Admin,Sí,10-14,10-14,14-15,Ed. Basica;Ed. Secundaria;Ed. Universitaria;Autodidacta,Programación,BASTANTE,HOMBRE,35-39,15.000.000 a 18.000.000 Gs.,JavaScript;PHP;Java;HTML/CSS;SQL;Bash/Shell/PowerShell,React.js;Express;Laravel;CodeIgniter,Node.js,MySQL;MariaDB;PostgreSQL;MongoDB;Elasticsearch,GNU/Linux;Microsoft Windows;MacOS;Docker;Android;Raspberry Pi;WordPress,JavaScript,Haskell,Laravel,,GitHub;GitLab;Jira;Trello;Discord
2021/03/01 6:44:55 p. m. GMT-3,Remoto,Ambas,Dev back-end;Dev front-end;Dev full-stack;QA o testing;DB Admin,Sys Admin;Diseñador,Sí,30-34,30-34,>30,Ed. Universitaria;Autodidacta,Programación;Diseño Gráfico;Otras,+ || -,HOMBRE,35-39,9.000.000 a 12.000.000 Gs.,JavaScript;TypeScript;PHP;Python;Java;HTML/CSS;SQL;Bash/Shell/PowerShell,React.js;JQuery;Express;Django;Laravel;Symfony,Node.js;Cordova,MySQL;MariaDB;PostgreSQL;SQLite;MongoDB;DynamoDB,GNU/Linux;Docker;AWS;WordPress,PHP,Java,Express,React.js,GitHub;Slack;GitLab;Jira;Google Suite
2021/03/01 6:46:27 p. m. GMT-3,Hibrído,Nacional (Paraguay),Dev back-end;Aps de escritorio o empresariales,,Sí,10-14,10-14,10-11,Ed. Universitaria,Análisis de Sistemas,+ || -,HOMBRE,30-34,12.000.000 a 15.000.000 Gs.,JavaScript;PHP;Python;Java;Kotlin;C#;Go;HTML/CSS;SQL;Bash/Shell/PowerShell;Swift;Objective-C;Dart;Oracle form,Angular;ASP.NET;ASP.NET Core;Vue.js;Spring;Django;Flask,Node.js;.NET;Flutter,MySQL;MariaDB;PostgreSQL;Microsoft SQL Server;SQLite;MongoDB;Oracle;Firebase,Microsoft Windows;MacOS;iOS,Python,Bash/Shell/PowerShell,Vue.js,React.js,GitHub;GitLab;Jira;Google Suite;Confluence;Microsoft Team
2021/03/01 6:47:42 p. m. GMT-3,Remoto,Internacional,Dev back-end;Dev full-stack,,Sí,15-19,15-19,14-15,Ed. Basica;Ed. Secundaria;Autodidacta,Análisis de Sistemas;Ninguna,+ || -,HOMBRE,40-44,> 27.000.000 Gs.,JavaScript;TypeScript;PHP;Python;Ruby;C;C#;C++;Go;HTML/CSS;SQL;Bash/Shell/PowerShell,React.js;JQuery;ASP.NET;Express;ASP.NET Core;Vue.js;Django;Ruby on Rails,Node.js;.NET;React Native;Xamarin,MySQL;MariaDB;PostgreSQL;Microsoft SQL Server;SQLite;MongoDB;Redis;Oracle;Firebase;Elasticsearch,GNU/Linux;Microsoft Windows;MacOS;Docker;AWS;Android;Microsoft Azure;WordPress;Google Cloud Platform;Kubernetes;Heroku,Go,VBA,Ruby on Rails,CodeIgniter,GitHub;Slack;GitLab;Jira;Google Suite;Confluence;Microsoft Team;Trello
2021/03/01 6:49:37 p. m. GMT-3,Presencial,Nacional (Paraguay),Dev back-end;Aps de escritorio o empresariales,,No,5-9,<5,16-17,Ed. Universitaria,Análisis de Sistemas,MUY,HOMBRE,25-29,7.000.000 a 9.000.000 Gs.,Python;SQL,Django;Flask,.NET,MySQL;MariaDB;PostgreSQL;Microsoft SQL Server,GNU/Linux;Microsoft Windows,Python,JavaScript,Django,Angular,GitHub;Discord
2021/03/01 6:51:31 p. m. GMT-3,Remoto,Internacional,Dev back-end;Dev full-stack;Dev mobile;Aps de escritorio o empresariales,,Sí,10-14,10-14,12-13,Ed. Basica;Ed. Secundaria;Ed. Universitaria;Master;Autodidacta,Programación;Análisis de Sistemas;Ing. Informática,BASTANTE,HOMBRE,30-34,12.000.000 a 15.000.000 Gs.,Java,Spring,Node.js;Flutter,MySQL;PostgreSQL;Microsoft SQL Server;MongoDB;Oracle;Firebase;Elasticsearch,MacOS;Docker;Android;iOS;Heroku,Java,PHP,Spring,CodeIgniter,GitHub;Slack;GitLab;Jira;Google Suite;Confluence;Microsoft Team;Trello;Discord
2021/03/01 6:52:06 p. m. GMT-3,Hibrído,Ambas,Dev back-end,Sys Admin;Inv. Cientifico,Sí,10-14,5-9,<10,Ed. Basica;Ed. Secundaria;Ed. Universitaria;Autodidacta,Ing. Informática,CRITICO,HOMBRE,30-34,12.000.000 a 15.000.000 Gs.,JavaScript;TypeScript;Python;Ruby;Java;C;C++;HTML/CSS;SQL;Bash/Shell/PowerShell;Objective-C;Perl,React.js;Express;Spring;Django;Flask;Ruby on Rails,Node.js;Pandas;TensorFlow;Chef,MySQL;MariaDB;PostgreSQL;Microsoft SQL Server;MongoDB;Redis,GNU/Linux;Microsoft Windows;MacOS;Docker;Android;iOS,C,Genexus,Flask,ASP.NET,GitHub;Slack;GitLab;Google Suite;Trello;Discord
2021/03/01 6:53:45 p. m. GMT-3,Remoto,Nacional (Paraguay),Dev back-end;Dev front-end;Dev full-stack;Dev mobile;Dev de videojuegos,Sys Admin;Data Scientist ML Specialist,Sí,5-9,5-9,16-17,Ed. Basica;Ed. Secundaria;Ed. Universitaria,Ing. Informática,BASTANTE,HOMBRE,30-34,24.000.000 a 27.000.000 Gs.,JavaScript;TypeScript;Python;Java;C#;SQL,React.js;Spring,React Native;Unity 3D,PostgreSQL,GNU/Linux;MacOS,Java,RPG,React.js,Angular,GitHub;Slack;GitLab;Google Suite
2021/03/01 6:54:31 p. m. GMT-3,Presencial,Nacional (Paraguay),Dev full-stack,,Sí,5-9,<5,<10,Ed. Universitaria,Ing. Informática,BASTANTE,HOMBRE,20-24,3.500.000 a 5.000.000 Gs.,JavaScript;Python;Java;HTML/CSS;SQL,React.js,Node.js;Pandas,PostgreSQL;Microsoft SQL Server,GNU/Linux;Microsoft Windows,JavaScript,Java,React.js,,GitHub;GitLab
