"Marca temporal","Modalidad","Trabajo","Tipo de trabajo","DevOps","Codificar por trabajo","Experiencia en TI","Experiencia en codificación ","Primera línea de código en una máquina","Educación","Carreras o especialidades","Importancia educación formal","Género","Edad actual ","Salario mensual","Programación, scripting y lenguajes de marcado","Librerías o web frameworks","Otras frameworks, librerías y herramientas","Base de datos","Plataformas","Lenguaje favorito","Lenguaje más odiado","Framework favorito","Framework más odiado","Herramientas"
"2021/03/01 6:20:25 p. m. GMT-3","Hibrído","Nacional (Paraguay)","Desarrollador full-stack;Desarrollador mobile","","Sí","10 a 14 años","10 a 14 años","12 a 13 años","Educación universitaria","Programación;Análisis de sistemas","Muy importante","Hombre","30 a 34 años","Entre 7.000.000 a 9.000.000 gs","JavaScript;PHP;Python;Dart","React.js;JQuery;Vue.js;Django;Laravel;CodeIgniter;CakePHP;Ruby on Rails","Node.js;React Native;Flutter","MySQL;MariaDB;PostgreSQL;Elasticsearch","GNU/Linux;MacOS","PHP","Fox Pro","Laravel","CodeIgniter","GitHub;Slack;GitLab;Jira;Google Suite (Docs, Meet, etc);Confluence;Trello"
"2021/03/01 6:25:46 p. m. GMT-3","Hibrído","Nacional (Paraguay)","QA o testing","","Sí","10 a 14 años","Menos de 5 años","Menos de 10 años","Educación básica;Educación secundaria;Educación universitaria","Ingeniero Informática","Bastante importante","Hombre","20 a 24 años","Entre 2.192.839 gs a 3.500.000 gs","Python;C++;HTML/CSS","JQuery;ASP.NET;ASP.NET Core;Django","Node.js;.NET;Unity 3D;Unreal Engine","MySQL;MariaDB;PostgreSQL;Microsoft SQL Server;SQLite;Oracle","GNU/Linux;Microsoft Windows;MacOS;Android;Raspberry Pi;Microsoft Azure;WordPress;Google Cloud Platform;iOS","HTML/CSS","PHP","","","GitHub;GitLab;Jira;Google Suite (Docs, Meet, etc);Microsoft Team;Discord"
"2021/03/01 6:26:23 p. m. GMT-3","Remoto","Nacional (Paraguay)","Desarrollador full-stack;Project Leader","","Sí","10 a 14 años","10 a 14 años","18 a 19 años","Educación universitaria","Programación;Análisis de sistemas;Ingeniero Informática","Muy importante","Hombre","30 a 34 años","Entre 9.000.000 a 12.000.000 gs","JavaScript;PHP;Python;Java;C#;HTML/CSS;SQL;Bash/Shell/PowerShell;VBA","JQuery;ASP.NET;Spring","Pandas;Xamarin","MySQL;MariaDB;PostgreSQL;Microsoft SQL Server;SQLite;Oracle;IBM DB2","GNU/Linux;Microsoft Windows;Docker;Microsoft Azure;WordPress","Python","","ASP.NET","","GitHub;Slack;Microsoft Team;Microsoft Azure;Discord"
"2021/03/01 6:27:34 p. m. GMT-3","Presencial","Nacional (Paraguay)","Desarrollador full-stack;QA o testing","","Sí","Menos de 5 años","Menos de 5 años","18 a 19 años","Educación básica;Educación secundaria;Autodidacta","Ninguna","No importa, no es necesario","Hombre","20 a 24 años","Entre 2.192.839 gs a 3.500.000 gs","JavaScript;TypeScript;PHP;Python;Java;C;C++;HTML/CSS;SQL","React.js;JQuery;Express;Spring;Django;Laravel","Node.js","MySQL;PostgreSQL;SQLite","GNU/Linux;Microsoft Windows;WordPress;Heroku","JavaScript","PHP","Django","JQuery","GitHub;Slack;Jira;Microsoft Team"
"2021/03/01 6:29:08 p. m. GMT-3","Remoto","Internacional","Desarrollador full-stack","","Sí","5 a 9 años","Menos de 5 años","Menos de 10 años","Educación secundaria","Análisis de sistemas","Más o menos importante","Hombre","25 a 29 años","Entre 7.000.000 a 9.000.000 gs","JavaScript;TypeScript;Java;HTML/CSS;SQL;Bash/Shell/PowerShell","React.js;Angular;Vue.js;Spring;Flask","","MySQL;MariaDB;PostgreSQL;SQLite;Oracle","GNU/Linux;Microsoft Windows;Docker;AWS;Kubernetes","JavaScript","JavaScript","Angular","","Slack;GitLab;Jira;Google Suite (Docs, Meet, etc);Confluence"
"2021/03/01 6:29:25 p. m. GMT-3","Ninguna de las anteriores","Nacional (Paraguay)","Desarrollador front-end","Investigador científico;Diseñador","No","Menos de 5 años","Menos de 5 años","Menos de 10 años","Educación secundaria","Ninguna","Más o menos importante","Hombre","20 a 24 años","Menos del salario mínimo ( 2.192.839 gs)","Python;HTML/CSS","","","PostgreSQL;SQLite","GNU/Linux;Microsoft Windows;Android","Python","Fox Pro","Django","CakePHP","GitHub;Google Suite (Docs, Meet, etc);Discord"
"2021/03/01 6:30:19 p. m. GMT-3","Remoto","Nacional (Paraguay)","Desarrollador full-stack","Administrador de sistemas","Sí","10 a 14 años","15 a 19 años","14 a 15 años","Educación básica;Educación secundaria;Educación universitaria","Ingeniero Informática;Otras","Más o menos importante","Hombre","35 a 39 años","Entre 7.000.000 a 9.000.000 gs","JavaScript;PHP;Python;Go;HTML/CSS;SQL;Bash/Shell/PowerShell","JQuery;Vue.js;Laravel","Node.js;Flutter","MySQL;MariaDB;PostgreSQL;Microsoft SQL Server;MongoDB;Redis;Elasticsearch","GNU/Linux;MacOS;Docker;AWS;WordPress","Python","VBA","Laravel","ASP.NET","GitHub;Google Suite (Docs, Meet, etc);Discord"
"2021/03/01 6:31:04 p. m. GMT-3","Presencial","Nacional (Paraguay)","Desarrollador back-end;Desarrollador front-end;Desarrollador full-stack;Aplicaciones de escritorio o empresariales;Project Leader","","Sí","25 a 29 años","25 a 29 años","26 a 27 años","Educación básica;Educación secundaria;Educación universitaria;Autodidacta","Programación;Análisis de sistemas","Más o menos importante","Hombre","45 a 49 años","Entre 9.000.000 a 12.000.000 gs","JavaScript;PHP;Java;HTML/CSS;SQL;Bash/Shell/PowerShell;Fox Pro;COBOL","","","MySQL;MariaDB;PostgreSQL;Microsoft SQL Server;Oracle;Cassandra;Couchbase","GNU/Linux;Microsoft Windows;Docker","Java","RPG","","Spring","GitHub;Slack;GitLab;Jira;Google Suite (Docs, Meet, etc);Confluence"
"2021/03/01 6:32:57 p. m. GMT-3","Hibrído","Nacional (Paraguay)","Desarrollador back-end","","Sí","Menos de 5 años","5 a 9 años","10 a 11 años","Educación universitaria","Ingeniero Informática","Muy importante","Hombre","20 a 24 años","Entre 2.192.839 gs a 3.500.000 gs","SQL;Bash/Shell/PowerShell;Oracle form","","","Oracle","GNU/Linux;Microsoft Windows","Java","Assembly","Angular","","GitHub;Google Suite (Docs, Meet, etc)"
"2021/03/01 6:34:27 p. m. GMT-3","Presencial","Nacional (Paraguay)","Desarrollador full-stack","","Sí","Menos de 5 años","10 a 14 años","10 a 11 años","Educación universitaria","Programación","Más o menos importante","Hombre","35 a 39 años","Entre 15.000.000 a 18.000.000 gs","JavaScript;TypeScript;Java;C;C#;HTML/CSS;SQL;Haskell;Oracle form;Genexus;COBOL","Angular;Angular.js;JQuery;Vue.js;Spring","Node.js;Flutter","MySQL;PostgreSQL;Microsoft SQL Server;SQLite;Oracle","GNU/Linux;Microsoft Windows;MacOS;Android;iOS","Java","Genexus","Spring","","GitHub;GitLab;Jira;Google Suite (Docs, Meet, etc)"
"2021/03/01 6:35:18 p. m. GMT-3","Hibrído","Nacional (Paraguay)","Desarrollador de sistemas embebidos","Educador","Sí","más de 50 años","25 a 29 años","16 a 17 años","Master","Programación;Análisis de sistemas;Ingeniero Informática","Bastante importante","Hombre","55 a 59 años","Entre 3.500.000 a 5.000.000 gs","JavaScript;PHP;C++;HTML/CSS;SQL;Fox Pro;COBOL","Vue.js;Laravel","Flutter","MySQL;PostgreSQL;Microsoft SQL Server","GNU/Linux;Microsoft Windows","C++","Perl","Laravel","ASP.NET Core","GitHub;Google Suite (Docs, Meet, etc)"
"2021/03/01 6:38:11 p. m. GMT-3","Remoto","Nacional (Paraguay)","Desarrollador front-end","","Sí","10 a 14 años","5 a 9 años","Menos de 10 años","Educación básica;Educación secundaria;Autodidacta","Ninguna","Más o menos importante","Hombre","30 a 34 años","Entre 3.500.000 a 5.000.000 gs","JavaScript;PHP;HTML/CSS","","","MySQL","AWS;WordPress","JavaScript","","","","GitHub;Trello"
"2021/03/01 6:38:51 p. m. GMT-3","Remoto","Nacional (Paraguay)","Desarrollador full-stack;Desarrollador mobile;Project Leader","Administrador de sistemas","Sí","5 a 9 años","5 a 9 años","12 a 13 años","Educación universitaria;Autodidacta","Ingeniero Electrónica","Más o menos importante","Hombre","30 a 34 años","Entre 12.000.000 a 15.000.000 gs","JavaScript;TypeScript;PHP;HTML/CSS","Angular;JQuery;Vue.js;Laravel;Symfony","Node.js","MySQL;Microsoft SQL Server;MongoDB;Redis","GNU/Linux;MacOS","PHP","","Laravel","","GitHub;Slack;Trello"
"2021/03/01 6:38:53 p. m. GMT-3","Hibrído","Nacional (Paraguay)","Desarrollador back-end;Desarrollador front-end;Desarrollador full-stack;Aplicaciones de escritorio o empresariales;Project Leader","Administrador de sistemas;Científico de datos o especialista Machine Learning","Sí","25 a 29 años","25 a 29 años","Menos de 10 años","Master","Ingeniero Informática","Más o menos importante","Hombre","40 a 44 años","Más de 27.000.000 gs","JavaScript;TypeScript;PHP;Python;Java;Kotlin;C;C#;C++;HTML/CSS;SQL;Bash/Shell/PowerShell;Swift;Objective-C;Fox Pro","JQuery;ASP.NET;ASP.NET Core;Spring;Django;Flask",".NET;Pandas;TensorFlow","MySQL;MariaDB;PostgreSQL;Microsoft SQL Server;SQLite;MongoDB;Redis;Oracle;Firebase;IBM DB2;Elasticsearch","GNU/Linux;Microsoft Windows;MacOS;Docker;AWS;Android;Raspberry Pi;Microsoft Azure;WordPress;Google Cloud Platform;iOS;Kubernetes;Heroku;Arduino","Python","Bash/Shell/PowerShell","Spring","Angular.js","GitHub;Slack;GitLab;Jira;Google Suite (Docs, Meet, etc);Confluence;Microsoft Team;Microsoft Azure;Trello;Discord"
"2021/03/01 6:42:18 p. m. GMT-3","Hibrído","Ambas","Desarrollador back-end;Desarrollador front-end;Desarrollador full-stack;QA o testing;Administrador de base de datos;Project Leader","Administrador de sistemas","Sí","10 a 14 años","10 a 14 años","14 a 15 años","Educación básica;Educación secundaria;Educación universitaria;Autodidacta","Programación","Bastante importante","Hombre","35 a 39 años","Entre 15.000.000 a 18.000.000 gs","JavaScript;PHP;Java;HTML/CSS;SQL;Bash/Shell/PowerShell","React.js;Express;Laravel;CodeIgniter","Node.js","MySQL;MariaDB;PostgreSQL;MongoDB;Elasticsearch","GNU/Linux;Microsoft Windows;MacOS;Docker;Android;Raspberry Pi;WordPress","JavaScript","Haskell","Laravel","","GitHub;GitLab;Jira;Trello;Discord"
"2021/03/01 6:44:55 p. m. GMT-3","Remoto","Ambas","Desarrollador back-end;Desarrollador front-end;Desarrollador full-stack;QA o testing;Administrador de base de datos","Administrador de sistemas;Diseñador","Sí","30 a 34 años","30 a 34 años","más de 30 años","Educación universitaria;Autodidacta","Programación;Diseño gráfico;Otras","Más o menos importante","Hombre","35 a 39 años","Entre 9.000.000 a 12.000.000 gs","JavaScript;TypeScript;PHP;Python;Java;HTML/CSS;SQL;Bash/Shell/PowerShell","React.js;JQuery;Express;Django;Laravel;Symfony","Node.js;Cordova","MySQL;MariaDB;PostgreSQL;SQLite;MongoDB;DynamoDB","GNU/Linux;Docker;AWS;WordPress","PHP","Java","Express","React.js","GitHub;Slack;GitLab;Jira;Google Suite (Docs, Meet, etc)"
"2021/03/01 6:46:27 p. m. GMT-3","Hibrído","Nacional (Paraguay)","Desarrollador back-end;Aplicaciones de escritorio o empresariales","","Sí","10 a 14 años","10 a 14 años","10 a 11 años","Educación universitaria","Análisis de sistemas","Más o menos importante","Hombre","30 a 34 años","Entre 12.000.000 a 15.000.000 gs","JavaScript;PHP;Python;Java;Kotlin;C#;Go;HTML/CSS;SQL;Bash/Shell/PowerShell;Swift;Objective-C;Dart;Oracle form","Angular;ASP.NET;ASP.NET Core;Vue.js;Spring;Django;Flask","Node.js;.NET;Flutter","MySQL;MariaDB;PostgreSQL;Microsoft SQL Server;SQLite;MongoDB;Oracle;Firebase","Microsoft Windows;MacOS;iOS","Python","Bash/Shell/PowerShell","Vue.js","React.js","GitHub;GitLab;Jira;Google Suite (Docs, Meet, etc);Confluence;Microsoft Team"
"2021/03/01 6:47:42 p. m. GMT-3","Remoto","Internacional","Desarrollador back-end;Desarrollador full-stack","","Sí","15 a 19 años","15 a 19 años","14 a 15 años","Educación básica;Educación secundaria;Autodidacta","Análisis de sistemas;Ninguna","Más o menos importante","Hombre","40 a 44 años","Más de 27.000.000 gs","JavaScript;TypeScript;PHP;Python;Ruby;C;C#;C++;Go;HTML/CSS;SQL;Bash/Shell/PowerShell","React.js;JQuery;ASP.NET;Express;ASP.NET Core;Vue.js;Django;Ruby on Rails","Node.js;.NET;React Native;Xamarin","MySQL;MariaDB;PostgreSQL;Microsoft SQL Server;SQLite;MongoDB;Redis;Oracle;Firebase;Elasticsearch","GNU/Linux;Microsoft Windows;MacOS;Docker;AWS;Android;Microsoft Azure;WordPress;Google Cloud Platform;Kubernetes;Heroku","Go","VBA","Ruby on Rails","CodeIgniter","GitHub;Slack;GitLab;Jira;Google Suite (Docs, Meet, etc);Confluence;Microsoft Team;Trello"
