Marca temporal,Lugar de residencia.,Si selecciono PARAGUAY como lugar de residencia. Puede indicar el departamento en el que vive actualmente.,Como calificaría el estado de las calles en su lugar de residencia.,Considera que exista un problema de baches en su lugar de residencia.,Puede hacer una estimación de la cantidad de baches en su lugar de residencia.,Tipo de camino en su lugar de residencia.,Cuanto tiempo cree que demora la reparación de baches en su lugar de residencia.,Conoce algún método para denunciar la existencia de baches en su lugar de residencia.,"Puede acceder a información sobre los baches de su lugar de residencia. (Denuncias, ubicación y tareas de reparación de baches.)",Usted sufrió accidentes a causa de baches en su lugar de residencia.,"Si tiene vehículo. Cuan frecuentemente debe hacer mantenimiento a causa del estado de las calles o baches de su lugar de residencia.",Denunciaría la existencia de baches en su lugar de residencia.,Cree que seria util conocer la ubicación y otros datos de los baches en su lugar de residencia.,Si considera que su lugar de residencia tiene un problema de baches. Como califica la repuesta gubernamental al problema.,Puede estimar la regularidad con la que se reparan las calles en su lugar de residencia actual.
30/10/2022 13:12:48,Mexico,,Malo,SI,MUCHOS,ASFALTO,NO SE REPARAN,NO,NO,SI,REGULARMENTE,SI NO ME LLEVA MUCHO TIEMPO.,SI,LAMENTABLE,NUNCA
30/10/2022 13:19:20,Mexico,,Malo,SI,MUCHOS,ASFALTO,MUCHO,SI,NO,NO,FRECUENTEMENTE,SI,SI,LAMENTABLE,REGULARMENTE
30/10/2022 13:26:40,Paraguay,Central,Lamentable,SI,NO SE,ASFALTO,NO SE REPARAN,NO,NO SE,NO,REGULARMENTE,SI,SI,LAMENTABLE,NUNCA
30/10/2022 13:31:32,Spain,,Exelente,NO,POCOS,ASFALTO,POCO,NO,NO SE,NO NUNCA,,NO,NO,LAMENTABLE,REGULARMENTE
30/10/2022 13:56:27,Colombia,,Lamentable,SI,MUCHOS,ASFALTO,MUCHO,SI,NO,SI,REGULARMENTE,SI NO ME LLEVA MUCHO TIEMPO.,SI,LAMENTABLE,REGULARMENTE
30/10/2022 14:00:20,Venezuela,,Malo,SI,MUCHOS,ASFALTO,NO SE REPARAN,SI,NO,NO,FRECUENTEMENTE,SI,NO SE,LAMENTABLE,NUNCA
30/10/2022 14:12:50,Venezuela,,Lamentable,SI,MUCHOS,ASFALTO,NO SE REPARAN,NO,NO,SI,REGULARMENTE,SI,SI,LAMENTABLE,NUNCA
30/10/2022 14:27:51,Mexico,,Malo,SI,POCOS,ASFALTO,MUCHO,NO,NO,SI,REGULARMENTE,SI,SI,LAMENTABLE,NUNCA
30/10/2022 14:28:41,Venezuela,,Lamentable,SI,MUCHOS,ASFALTO,NO SE REPARAN,NO,NO,SI,REGULARMENTE,SI,SI,LAMENTABLE,NUNCA
30/10/2022 14:35:04,Paraguay,Central,Malo,SI,MUCHOS,ASFALTO,MUCHO,NO,NO,NO NUNCA,REGULARMENTE,SI,SI,LAMENTABLE,REGULARMENTE
30/10/2022 14:45:42,Mexico,,Malo,SI,MUCHOS,ASFALTO,MUCHO,NO,NO SE,SI,REGULARMENTE,SI,SI,LAMENTABLE,NUNCA
30/10/2022 15:11:12,Bolivia,,Malo,SI,MUCHOS,TIERRA,NO SE REPARAN,NO,NO,SI,FRECUENTEMENTE,SI,SI,LAMENTABLE,NUNCA
30/10/2022 16:01:58,Mexico,,Malo,SI,MUCHOS,ASFALTO,MUCHO,SI,NO,SI,REGULARMENTE,SI,SI,LAMENTABLE,REGULARMENTE
30/10/2022 16:15:33,Anguilla,Canindeyú,Lamentable,NO SE,NO SE,MIXTO,NO SE REPARAN,NO,NO SE,NO NUNCA,REGULARMENTE,SI NO ME LLEVA MUCHO TIEMPO.,NO ME INTERESA EL TEMA,LAMENTABLE,REGULARMENTE
30/10/2022 17:14:33,Argentina,,Malo,SI,MUCHOS,ASFALTO,MUCHO,NO,NO,NO,,SI,SI,LAMENTABLE,NUNCA
30/10/2022 19:30:19,Ecuador,,Malo,SI,MUCHOS,ASFALTO,NO SE REPARAN,SI,NO SE,NO,REGULARMENTE,SI,SI,LAMENTABLE,NUNCA
30/10/2022 20:50:14,Mexico,,Lamentable,SI,MUCHOS,MIXTO,MUCHO,SI,NO,SI,REGULARMENTE,SI,SI,LAMENTABLE,NUNCA
30/10/2022 23:58:40,Paraguay,Central,Lamentable,SI,MUCHOS,ASFALTO,NO SE REPARAN,NO,NO SE,SI,FRECUENTEMENTE,SI,SI,LAMENTABLE,NUNCA
31/10/2022 1:41:00,Colombia,,Malo,SI,MUCHOS,ASFALTO,NO SE REPARAN,,NO,NO,FRECUENTEMENTE,SI,SI,LAMENTABLE,NUNCA
31/10/2022 10:19:08,Paraguay,Alto Paraná,Bueno,NO,POCOS,MIXTO,NO SE REPARAN,NO,NO SE,NO,REGULARMENTE,SI NO ME LLEVA MUCHO TIEMPO.,SI,LAMENTABLE,NUNCA
31/10/2022 10:46:03,Mexico,,Malo,SI,MUCHOS,ASFALTO,NO SE REPARAN,NO,NO,NO,REGULARMENTE,SI NO ME LLEVA MUCHO TIEMPO.,SI,LAMENTABLE,NUNCA
31/10/2022 14:56:26,Argentina,,Malo,SI,MUCHOS,TIERRA,NO SE REPARAN,NO,NO,SI,FRECUENTEMENTE,SI,SI,LAMENTABLE,NUNCA
31/10/2022 16:25:36,Paraguay,Itapúa,Malo,SI,POCOS,ASFALTO,MUCHO,NO,NO,NO,REGULARMENTE,SI,SI,LAMENTABLE,NUNCA
31/10/2022 18:49:40,Mexico,,Malo,SI,MUCHOS,MIXTO,POCO,SI,SI,SI,REGULARMENTE,,SI,LAMENTABLE,REGULARMENTE
31/10/2022 20:09:29,Paraguay,Central,Malo,SI,MUCHOS,ASFALTO,MUCHO,NO,NO,NO,REGULARMENTE,SI NO ME LLEVA MUCHO TIEMPO.,NO SE,LAMENTABLE,NUNCA
31/10/2022 20:18:55,Venezuela,,Lamentable,SI,MUCHOS,ASFALTO,MUCHO,SI,NO,NO,REGULARMENTE,SI,SI,LAMENTABLE,
31/10/2022 20:34:25,Argentina,,Exelente,NO,POCOS,ASFALTO,POCO,SI,SI,NO NUNCA,REGULARMENTE,SI NO ME LLEVA MUCHO TIEMPO.,SI,EXELENTE,REGULARMENTE
31/10/2022 20:50:31,Spain,,Bueno,NO,POCOS,ASFALTO,POCO,SI,NO SE,NO NUNCA,,NO,SI,,REGULARMENTE
31/10/2022 21:13:05,Venezuela,,Bueno,SI,MUCHOS,ASFALTO,MUCHO,SI,NO,NO,,SI,SI,BUENA,REGULARMENTE
31/10/2022 21:26:17,Paraguay,Central,Malo,SI,MUCHOS,ASFALTO,NO SE REPARAN,NO,NO SE,SI,FRECUENTEMENTE,SI,SI,LAMENTABLE,NUNCA
31/10/2022 21:35:40,Chile,,Lamentable,SI,MUCHOS,MIXTO,NO SE REPARAN,NO,NO SE,SI,REGULARMENTE,SI,SI,LAMENTABLE,NUNCA
31/10/2022 21:44:20,Spain,,Exelente,NO,POCOS,ASFALTO,POCO,SI,NO SE,NO NUNCA,REGULARMENTE,SI,NO,,REGULARMENTE
31/10/2022 22:14:42,Venezuela,Central,Lamentable,SI,MUCHOS,TIERRA,NO SE REPARAN,NO,NO,SI,FRECUENTEMENTE,SI,SI,LAMENTABLE,NUNCA
31/10/2022 22:15:34,Colombia,,Malo,SI,MUCHOS,ASFALTO,MUCHO,SI,SI,NO,REGULARMENTE,SI,SI,LAMENTABLE,REGULARMENTE
31/10/2022 22:16:29,Ashmore and Cartier Islands,Ñeembucú,Lamentable,NO SE,NO SE,TIERRA,NO SE REPARAN,SI,NO SE,SI FRECUENTEMENTE,FRECUENTEMENTE,NO,NO ME INTERESA EL TEMA,LAMENTABLE,NUNCA
31/10/2022 22:19:49,Argentina,,Malo,SI,MUCHOS,ASFALTO,MUCHO,NO,NO,NO,REGULARMENTE,NO,NO,LAMENTABLE,REGULARMENTE
31/10/2022 22:21:56,Argentina,Misiones,Bueno,NO SE,POCOS,PIEDRA,NO SE REPARAN,NO,NO,SI,REGULARMENTE,SI,SI,LAMENTABLE,REGULARMENTE
31/10/2022 23:28:05,Colombia,,Malo,SI,MUCHOS,ASFALTO,MUCHO,NO,NO,NO NUNCA,,SI,SI,LAMENTABLE,REGULARMENTE
31/10/2022 23:32:25,Paraguay,Distrito Capital,Lamentable,SI,MUCHOS,ASFALTO,NO SE REPARAN,NO,NO,NO,FRECUENTEMENTE,SI,SI,LAMENTABLE,NUNCA
31/10/2022 23:51:02,Paraguay,Central,Lamentable,SI,MUCHOS,MIXTO,MUCHO,SI,NO,NO,,SI,SI,LAMENTABLE,NUNCA
1/11/2022 1:18:19,Mexico,,Lamentable,SI,MUCHOS,MIXTO,MUCHO,SI,NO,SI,REGULARMENTE,SI,SI,LAMENTABLE,REGULARMENTE
1/11/2022 3:05:43,Spain,,Bueno,NO,POCOS,ASFALTO,POCO,NO,NO SE,NO,,NO,SI,BUENA,REGULARMENTE
1/11/2022 6:46:05,Spain,,Bueno,NO SE,POCOS,ASFALTO,POCO,NO,NO SE,NO NUNCA,REGULARMENTE,NO,SI,,REGULARMENTE
1/11/2022 8:24:31,Spain,,,,,,,,,,,,,,
1/11/2022 9:13:39,Paraguay,Alto Paraná,Malo,SI,MUCHOS,ASFALTO,NO SE REPARAN,NO,NO SE,NO,REGULARMENTE,SI NO ME LLEVA MUCHO TIEMPO.,SI,LAMENTABLE,NUNCA
1/11/2022 9:15:03,Paraguay,Central,Lamentable,SI,MUCHOS,TIERRA,NO SE REPARAN,NO,NO,SI,FRECUENTEMENTE,SI,NO ME INTERESA EL TEMA,LAMENTABLE,NUNCA
1/11/2022 9:31:28,Paraguay,Central,Lamentable,SI,MUCHOS,MIXTO,NO SE REPARAN,SI,NO,SI,FRECUENTEMENTE,SI,SI,LAMENTABLE,NUNCA
1/11/2022 9:36:15,Italy,,Bueno,SI,MUCHOS,ASFALTO,NO SE REPARAN,SI,NO SE,SI,FRECUENTEMENTE,SI NO ME LLEVA MUCHO TIEMPO.,NO SE,LAMENTABLE,NUNCA
1/11/2022 9:37:19,Argentina,,Malo,SI,MUCHOS,ASFALTO,MUCHO,SI,SI,NO,FRECUENTEMENTE,SI,SI,LAMENTABLE,REGULARMENTE
1/11/2022 9:40:18,Spain,,Malo,SI,MUCHOS,ASFALTO,MUCHO,SI,NO SE,SI,REGULARMENTE,SI,NO SE,BUENA,REGULARMENTE
1/11/2022 10:16:42,Paraguay,Central,Malo,SI,MUCHOS,ASFALTO,MUCHO,NO,SI,NO,REGULARMENTE,SI NO ME LLEVA MUCHO TIEMPO.,SI,LAMENTABLE,REGULARMENTE
1/11/2022 10:26:46,Paraguay,Central,Lamentable,SI,MUCHOS,ASFALTO,NO SE REPARAN,SI,NO SE,SI,FRECUENTEMENTE,SI NO ME LLEVA MUCHO TIEMPO.,SI,LAMENTABLE,REGULARMENTE
1/11/2022 10:44:52,France,,Exelente,NO,POCOS,ASFALTO,POCO,NO,SI,NO,REGULARMENTE,SI,SI,EXELENTE,REGULARMENTE
1/11/2022 10:56:46,Paraguay,Central,Lamentable,SI,MUCHOS,PIEDRA,NO SE REPARAN,NO,NO,NO,,SI,SI,LAMENTABLE,NUNCA
1/11/2022 10:59:56,Argentina,,Bueno,NO,POCOS,ASFALTO,MUCHO,NO,NO,NO,REGULARMENTE,SI,SI,BUENA,REGULARMENTE
1/11/2022 11:27:59,Argentina,,Malo,SI,NO SE,ASFALTO,MUCHO,SI,NO SE,NO NUNCA,,SI NO ME LLEVA MUCHO TIEMPO.,SI,LAMENTABLE,REGULARMENTE
1/11/2022 11:52:31,Paraguay,Central,Malo,SI,MUCHOS,ASFALTO,MUCHO,SI,NO,NO,FRECUENTEMENTE,SI,SI,LAMENTABLE,REGULARMENTE
1/11/2022 11:56:18,Paraguay,Distrito Capital,Lamentable,SI,MUCHOS,ASFALTO,MUCHO,NO,NO,SI,FRECUENTEMENTE,SI NO ME LLEVA MUCHO TIEMPO.,SI,LAMENTABLE,NUNCA
1/11/2022 12:05:16,Argentina,,Bueno,SI,MUCHOS,ASFALTO,MUCHO,NO,NO,NO NUNCA,REGULARMENTE,SI,SI,BUENA,REGULARMENTE
1/11/2022 13:46:26,Mexico,,Bueno,SI,MUCHOS,ASFALTO,MUCHO,SI,SI,NO,REGULARMENTE,SI NO ME LLEVA MUCHO TIEMPO.,SI,LAMENTABLE,REGULARMENTE
1/11/2022 14:36:49,Paraguay,Central,Lamentable,SI,MUCHOS,ASFALTO,MUCHO,NO,NO,NO NUNCA,FRECUENTEMENTE,SI,SI,LAMENTABLE,NUNCA
1/11/2022 15:12:52,Paraguay,Ñeembucú,Malo,SI,MUCHOS,MIXTO,MUCHO,NO,NO,SI,FRECUENTEMENTE,SI,SI,LAMENTABLE,NUNCA
1/11/2022 15:59:26,Uruguay,,Bueno,NO,POCOS,PIEDRA,MUCHO,SI,SI,NO,,SI NO ME LLEVA MUCHO TIEMPO.,NO ME INTERESA EL TEMA,LAMENTABLE,NUNCA
1/11/2022 16:06:27,Paraguay,Central,Lamentable,SI,MUCHOS,PIEDRA,NO SE REPARAN,NO,NO SE,SI,REGULARMENTE,SI NO ME LLEVA MUCHO TIEMPO.,SI,LAMENTABLE,NUNCA
1/11/2022 17:01:07,Spain,,Malo,SI,POCOS,ASFALTO,MUCHO,SI,NO SE,NO,,SI NO ME LLEVA MUCHO TIEMPO.,SI,LAMENTABLE,REGULARMENTE
1/11/2022 17:11:16,Spain,,Malo,SI,MUCHOS,ASFALTO,NO SE REPARAN,NO,NO SE,NO NUNCA,FRECUENTEMENTE,SI NO ME LLEVA MUCHO TIEMPO.,SI,LAMENTABLE,REGULARMENTE
1/11/2022 17:46:23,Spain,,Lamentable,SI,MUCHOS,ASFALTO,MUCHO,SI,SI,NO,REGULARMENTE,SI NO ME LLEVA MUCHO TIEMPO.,SI,LAMENTABLE,REGULARMENTE
1/11/2022 18:14:26,Mexico,,Malo,SI,POCOS,ASFALTO,POCO,NO,NO,NO,REGULARMENTE,SI NO ME LLEVA MUCHO TIEMPO.,NO SE,LAMENTABLE,REGULARMENTE
1/11/2022 18:56:41,Uruguay,,Bueno,NO,POCOS,ASFALTO,MUCHO,NO,NO SE,NO,REGULARMENTE,NO,NO SE,LAMENTABLE,REGULARMENTE
1/11/2022 19:06:49,Argentina,,Lamentable,SI,MUCHOS,ASFALTO,MUCHO,NO,NO,SI,FRECUENTEMENTE,SI,SI,LAMENTABLE,NUNCA
1/11/2022 20:14:27,Paraguay,Distrito Capital,Malo,SI,MUCHOS,ASFALTO,MUCHO,SI,NO,NO,,SI,SI,LAMENTABLE,REGULARMENTE
1/11/2022 20:44:23,Mexico,,Bueno,SI,POCOS,ASFALTO,MUCHO,SI,NO SE,NO,REGULARMENTE,SI,SI,LAMENTABLE,REGULARMENTE
1/11/2022 20:44:53,Mexico,,Lamentable,SI,MUCHOS,ASFALTO,NO SE REPARAN,NO,NO,SI,FRECUENTEMENTE,SI,SI,LAMENTABLE,NUNCA
1/11/2022 20:48:54,Mexico,,Lamentable,SI,MUCHOS,PIEDRA,NO SE REPARAN,NO,NO,SI FRECUENTEMENTE,FRECUENTEMENTE,SI,SI,EXELENTE,NUNCA
1/11/2022 20:57:41,Paraguay,Central,Bueno,SI,NO SE,ASFALTO,POCO,NO,NO SE,NO,REGULARMENTE,SI,NO SE,LAMENTABLE,REGULARMENTE
1/11/2022 22:03:06,Paraguay,Alto Paraná,Lamentable,SI,MUCHOS,PIEDRA,MUCHO,NO,NO SE,SI,REGULARMENTE,SI,SI,LAMENTABLE,REGULARMENTE
1/11/2022 22:18:23,Paraguay,Central,Lamentable,SI,MUCHOS,MIXTO,NO SE REPARAN,NO,NO,SI,REGULARMENTE,SI,SI,LAMENTABLE,NUNCA
1/11/2022 23:41:34,Argentina,,Lamentable,SI,MUCHOS,TIERRA,NO SE REPARAN,SI,NO,NO,,SI,SI,LAMENTABLE,NUNCA
2/11/2022 0:05:21,Paraguay,Central,Malo,SI,MUCHOS,ASFALTO,MUCHO,NO,NO,NO NUNCA,REGULARMENTE,SI,SI,LAMENTABLE,REGULARMENTE
2/11/2022 1:08:38,Paraguay,Central,Malo,SI,MUCHOS,MIXTO,NO SE REPARAN,NO,NO SE,SI,REGULARMENTE,SI,SI,LAMENTABLE,NUNCA
2/11/2022 1:20:03,Guatemala,,Malo,SI,MUCHOS,ASFALTO,MUCHO,NO,NO,NO,FRECUENTEMENTE,SI,SI,LAMENTABLE,NUNCA
2/11/2022 11:27:38,Mexico,,Lamentable,SI,MUCHOS,ASFALTO,NO SE REPARAN,SI,NO,SI,FRECUENTEMENTE,SI,SI,LAMENTABLE,NUNCA
2/11/2022 13:12:16,Paraguay,Central,Malo,SI,MUCHOS,ASFALTO,MUCHO,SI,SI,NO,REGULARMENTE,NO,NO,LAMENTABLE,REGULARMENTE
2/11/2022 13:18:59,Paraguay,Central,Lamentable,SI,MUCHOS,PIEDRA,NO SE REPARAN,NO,NO SE,SI,REGULARMENTE,SI NO ME LLEVA MUCHO TIEMPO.,SI,LAMENTABLE,NUNCA
2/11/2022 15:03:02,Paraguay,Central,Lamentable,SI,MUCHOS,MIXTO,NO SE REPARAN,NO,NO,SI FRECUENTEMENTE,REGULARMENTE,SI NO ME LLEVA MUCHO TIEMPO.,SI,LAMENTABLE,REGULARMENTE
2/11/2022 15:38:02,Paraguay,Central,Malo,SI,MUCHOS,ASFALTO,NO SE REPARAN,NO,NO,NO,FRECUENTEMENTE,SI NO ME LLEVA MUCHO TIEMPO.,SI,LAMENTABLE,NUNCA
2/11/2022 16:40:48,Paraguay,Central,Malo,SI,POCOS,ASFALTO,NO SE REPARAN,NO,NO SE,NO,FRECUENTEMENTE,SI,SI,LAMENTABLE,NUNCA
2/11/2022 16:49:21,Mexico,,Lamentable,SI,MUCHOS,ASFALTO,MUCHO,SI,SI,SI,REGULARMENTE,SI,SI,LAMENTABLE,REGULARMENTE
2/11/2022 17:50:37,Paraguay,Central,Malo,NO SE,MUCHOS,PIEDRA,NO SE REPARAN,NO,NO,NO NUNCA,FRECUENTEMENTE,SI,SI,LAMENTABLE,NUNCA
2/11/2022 19:16:05,Paraguay,Central,Bueno,SI,POCOS,ASFALTO,NO SE REPARAN,NO,NO SE,NO,REGULARMENTE,SI NO ME LLEVA MUCHO TIEMPO.,SI,LAMENTABLE,NUNCA
2/11/2022 20:14:44,Peru,,Malo,SI,MUCHOS,ASFALTO,POCO,SI,NO SE,NO,REGULARMENTE,SI NO ME LLEVA MUCHO TIEMPO.,NO SE,LAMENTABLE,NUNCA
2/11/2022 20:27:06,Paraguay,Central,Bueno,NO,NO SE,ASFALTO,NO SE REPARAN,NO,NO SE,NO NUNCA,,SI NO ME LLEVA MUCHO TIEMPO.,SI,,REGULARMENTE
2/11/2022 20:32:56,Paraguay,Alto Paraná,Malo,SI,MUCHOS,MIXTO,MUCHO,NO,NO,NO,,SI,SI,LAMENTABLE,NUNCA
2/11/2022 20:47:25,Mexico,,Lamentable,SI,MUCHOS,ASFALTO,NO SE REPARAN,NO,NO,SI,FRECUENTEMENTE,SI,SI,LAMENTABLE,NUNCA
2/11/2022 20:58:58,Paraguay,Central,Bueno,NO,POCOS,PIEDRA,NO SE REPARAN,NO,NO,NO,REGULARMENTE,SI,SI,LAMENTABLE,NUNCA
2/11/2022 21:03:41,Paraguay,Amambay,Lamentable,SI,MUCHOS,PIEDRA,NO SE REPARAN,NO,NO SE,NO,REGULARMENTE,SI NO ME LLEVA MUCHO TIEMPO.,SI,LAMENTABLE,NUNCA
2/11/2022 21:05:47,Peru,,Lamentable,SI,MUCHOS,ASFALTO,MUCHO,NO,NO SE,NO,,SI NO ME LLEVA MUCHO TIEMPO.,SI,,NUNCA
2/11/2022 21:16:57,Chile,,Malo,SI,MUCHOS,ASFALTO,MUCHO,NO,NO,NO NUNCA,REGULARMENTE,SI,SI,LAMENTABLE,REGULARMENTE
2/11/2022 21:18:36,Argentina,,Malo,NO,NO SE,TIERRA,NO SE REPARAN,NO,NO SE,NO NUNCA,,SI NO ME LLEVA MUCHO TIEMPO.,NO ME INTERESA EL TEMA,LAMENTABLE,NUNCA
2/11/2022 21:26:04,Chile,,Bueno,NO,POCOS,ASFALTO,MUCHO,NO,NO,SI,FRECUENTEMENTE,SI,SI,LAMENTABLE,NUNCA
2/11/2022 21:29:32,Argentina,,Bueno,SI,MUCHOS,MIXTO,MUCHO,NO,NO SE,NO NUNCA,REGULARMENTE,NO,NO ME INTERESA EL TEMA,BUENA,REGULARMENTE
2/11/2022 21:37:57,Spain,,Bueno,NO SE,NO SE,ASFALTO,POCO,NO,NO SE,NO NUNCA,,NO,NO ME INTERESA EL TEMA,BUENA,REGULARMENTE
2/11/2022 22:07:04,Peru,,Malo,SI,MUCHOS,ASFALTO,MUCHO,NO,NO SE,SI,REGULARMENTE,SI,SI,LAMENTABLE,NUNCA
2/11/2022 22:09:58,Peru,,Malo,SI,MUCHOS,ASFALTO,MUCHO,SI,NO,NO,REGULARMENTE,SI NO ME LLEVA MUCHO TIEMPO.,SI,LAMENTABLE,NUNCA
2/11/2022 22:11:08,Paraguay,Central,Bueno,SI,MUCHOS,ASFALTO,MUCHO,NO,SI,NO,FRECUENTEMENTE,SI,SI,LAMENTABLE,REGULARMENTE
2/11/2022 22:28:24,Paraguay,Central,Lamentable,SI,MUCHOS,ASFALTO,NO SE REPARAN,SI,NO,SI,FRECUENTEMENTE,SI,SI,LAMENTABLE,NUNCA
2/11/2022 22:30:53,Puerto Rico,,Lamentable,SI,MUCHOS,ASFALTO,NO SE REPARAN,NO,NO SE,SI,FRECUENTEMENTE,SI,SI,LAMENTABLE,NUNCA
2/11/2022 23:07:40,Paraguay,Central,Malo,SI,MUCHOS,MIXTO,NO SE REPARAN,NO,NO,SI,FRECUENTEMENTE,SI,NO SE,LAMENTABLE,NUNCA
2/11/2022 23:29:17,Paraguay,Central,Malo,SI,POCOS,ASFALTO,NO SE REPARAN,NO,NO,NO,REGULARMENTE,SI,SI,LAMENTABLE,NUNCA
3/11/2022 0:38:08,Peru,,Lamentable,SI,MUCHOS,ASFALTO,NO SE REPARAN,NO,NO,SI,FRECUENTEMENTE,SI,SI,LAMENTABLE,NUNCA
3/11/2022 1:18:36,Spain,,Bueno,NO,POCOS,ASFALTO,POCO,SI,NO,NO NUNCA,REGULARMENTE,SI,SI,BUENA,REGULARMENTE
3/11/2022 1:54:46,Mexico,,Lamentable,SI,MUCHOS,ASFALTO,MUCHO,SI,NO,SI,FRECUENTEMENTE,SI,SI,LAMENTABLE,NUNCA
3/11/2022 4:11:05,Dominican Republic,,Bueno,SI,MUCHOS,ASFALTO,POCO,SI,SI,SI,FRECUENTEMENTE,SI,SI,BUENA,REGULARMENTE
3/11/2022 7:20:15,Paraguay,Central,Malo,SI,MUCHOS,MIXTO,NO SE REPARAN,NO,NO,NO,REGULARMENTE,SI NO ME LLEVA MUCHO TIEMPO.,SI,LAMENTABLE,NUNCA
3/11/2022 8:08:13,Paraguay,Central,Lamentable,SI,MUCHOS,PIEDRA,MUCHO,NO,SI,SI,FRECUENTEMENTE,SI,SI,LAMENTABLE,NUNCA
3/11/2022 8:17:37,Paraguay,Alto Paraná,Bueno,SI,POCOS,ASFALTO,NO SE REPARAN,SI,NO,NO,REGULARMENTE,SI NO ME LLEVA MUCHO TIEMPO.,SI,LAMENTABLE,NUNCA
3/11/2022 8:44:48,Paraguay,Central,Lamentable,SI,MUCHOS,PIEDRA,MUCHO,NO,NO,NO,FRECUENTEMENTE,SI NO ME LLEVA MUCHO TIEMPO.,SI,LAMENTABLE,NUNCA
3/11/2022 8:45:53,Paraguay,Central,Malo,NO,POCOS,PIEDRA,NO SE REPARAN,SI,NO,NO,REGULARMENTE,SI NO ME LLEVA MUCHO TIEMPO.,SI,LAMENTABLE,NUNCA
3/11/2022 9:06:08,Paraguay,Central,Malo,NO,POCOS,PIEDRA,NO SE REPARAN,NO,NO,NO,FRECUENTEMENTE,SI NO ME LLEVA MUCHO TIEMPO.,SI,LAMENTABLE,NUNCA
3/11/2022 9:09:17,Paraguay,Central,Lamentable,SI,MUCHOS,ASFALTO,NO SE REPARAN,NO,SI,SI FRECUENTEMENTE,FRECUENTEMENTE,SI,SI,LAMENTABLE,NUNCA
3/11/2022 9:12:09,Paraguay,Alto Paraná,Malo,SI,MUCHOS,ASFALTO,MUCHO,NO,NO SE,NO,REGULARMENTE,SI,SI,LAMENTABLE,NUNCA
3/11/2022 9:15:40,Paraguay,Alto Paraná,Malo,SI,MUCHOS,ASFALTO,NO SE REPARAN,NO,NO SE,NO NUNCA,REGULARMENTE,,SI,LAMENTABLE,NUNCA
3/11/2022 9:57:20,Paraguay,Central,Malo,SI,MUCHOS,MIXTO,NO SE REPARAN,NO,NO SE,NO,FRECUENTEMENTE,SI NO ME LLEVA MUCHO TIEMPO.,SI,LAMENTABLE,NUNCA
3/11/2022 10:14:58,Paraguay,Central,Lamentable,SI,MUCHOS,ASFALTO,NO SE REPARAN,NO,NO,NO,REGULARMENTE,SI NO ME LLEVA MUCHO TIEMPO.,SI,LAMENTABLE,NUNCA
