,marca_temp,1_ocupacion,2_relacion_contractual,3_mercado_de_trabajo,4_rubro_de_trabajo,5_ROL_de_trabajo,6_años_de_experiencia,7) Nivel de seniority que Ud. considera que posee:,"8) Nivel de seniority que le asignan en su trabajo actual (aunque no sea en forma explícita, si puede inferir igual indique):",9_nivel_educativo,10_lugar_educativo,11_ingreso_mensual_en_dolares,12_beneficios_percibidos,13_remuneracion_vs_compañeros,14_habilidades_tecnicas,15_estimacion_de_vacancias,16_politicas_de_retencion_capacitacion,17_1_factores_opciones_lab,18_2_factores_opciones_lab,19_tuvo_entrev_inter,20_freq_ofert_laboral,21_mayor_dif_x_emp_internacionales,22_percep_señority,23_perf_mas_req,24_educacion_formal_internacionales,25_mayor_desafio_exterior,26_ingles_nivel_min
14,2022-09-15 09:35:55.844,fulltime,indef_sin_contrato,emp_ext_cli_ext,soft. factory / intermediaria,dev / software eng,5.0,Semi-senior,No puedo saber,Grado,Universidad Nacional de Asunción,3501 - 4000,"Vacaciones pagas, Flexibilidad horaria, Trabajo remoto, Días libres, Equipos de trabajo (laptop, otros)",Igual,Frontend Angular,no sé,Sí,Espacio para crecimiento profesional,Oportunidad de crecimiento económico,Sí,Más de 10 veces al año,El idioma,Los criterios son similares.,"Un perfil con alto nivel de especialización pero en un rol muy específico como frontend, backend, devops u otro.","La educación formal otorga las bases para tener éxito en una entrevista técnica, pero necesita ser complementada con la experiencia, cursos de especialización y/o test técnicos para entrevistas .",La falta de experiencia en herramientas o metodologías específicas.,Lo anterior más poder expresarse verbalmente sobre temas técnicos en forma breve y concisa. Entender casi todo lo que escucha.
15,2022-09-15 09:38:11.356,fulltime,contrato_temporal,emp_local_cli_local,Educacion (ong),Team Lead,7.0,Semi-senior,Senior,Grado,Universidad Nacional de Asunción,1501 - 2000,"Vacaciones pagas, Flexibilidad horaria, Trabajo remoto, Trabajo híbrido (remoto y presencial), Días libres, Equipos de trabajo (laptop, otros)",No trabajo para el exterior,Desarrollo web con Python (backend y/o frontend),menos de 5,No,Ambiente laboral,Remuneración inmediata,No,3 a 5 veces al año,El conocimiento de tecnologías o metodologías específicas,No trabajo para el exterior.,No trabajo para el exterior,No he participado en procesos de selección para el exterior,No trabajo para el exterior,Lo anterior más poder expresarse verbalmente sobre temas técnicos en forma breve y concisa. Entender casi todo lo que escucha.
16,2022-09-15 09:39:13.105,fulltime,contrato_temporal,emp_ext_cli_ext y en Paraguay,soft. factory / intermediaria,dev / software eng,6.0,Principal,Senior,Pre-grado (inicié la universidad pero no obtuve el título aún),Universidad Nacional de Asunción,1501 - 2000,"Vacaciones pagas, Flexibilidad horaria, Trabajo remoto, Equipos de trabajo (laptop, otros)",Mayor,.NET (web y/o desktop),no sé,Sí,Oportunidad de crecimiento económico,Espacio para crecimiento profesional,Sí,Más de 10 veces al año,El idioma,"En el mercado internacional, hay menores exigencias para cada nivel de seniority.","Un perfil con alto nivel de especialización pero en un rol muy específico como frontend, backend, devops u otro.","La educación formal otorga las bases para tener éxito en una entrevista técnica, pero necesita ser complementada con la experiencia, cursos de especialización y/o test técnicos para entrevistas .",El idioma,Poder leer materiales técnicos
17,2022-09-15 09:41:04.227,fulltime,r_dependencia,emp_local_cli_local,Telefonía / Networking,dev / software eng,11 - 15,Senior,Senior,Grado,Universidad privada del Paraguay,1501 - 2000,"Seguro médico, Jubilación, 13er salario o aguinaldo, Vacaciones pagas, Trabajo remoto, Días libres",No trabajo para el exterior,desarrollo con C++,menos de 5,No,Remuneración económica,Oportunidad de aprendizaje,Sí,3 a 5 veces al año,La experiencia previa,No trabajo para el exterior.,No trabajo para el exterior,"La educación formal otorga las bases para tener éxito en una entrevista técnica, pero necesita ser complementada con la experiencia, cursos de especialización y/o test técnicos para entrevistas .",No trabajo para el exterior,Poder leer materiales técnicos
18,2022-09-15 09:43:20.302,fulltime,indef_sin_contrato,emp_local_cli_local,soft. factory / intermediaria,dev / software eng,9.0,Senior,Principal,Grado,Universidad Nacional de Asunción,1501 - 2000,"Seguro médico, Jubilación, 13er salario o aguinaldo, Vacaciones pagas, Equipos de trabajo (laptop, otros)",No trabajo para el exterior,Desarrollo web con Python (backend y/o frontend),menos de 5,Sí,Espacio para crecimiento profesional,Oportunidad de crecimiento económico,No,6 a 10 veces al año,El idioma,No trabajo para el exterior.,No trabajo para el exterior,No he participado en procesos de selección para el exterior,No trabajo para el exterior,No se necesita.
19,2022-09-15 09:44:40.398,fulltime,r_dependencia,emp_local_cli_local,Industria,dev / software eng,5.0,Mid-level o Associate,Junior,Grado,Universidad privada del Paraguay,menor a 1000,"Seguro médico, Jubilación, 13er salario o aguinaldo, Vacaciones pagas, Equipos de trabajo (laptop, otros)",No trabajo para el exterior,Oracle,menos de 5,No,Ambiente laboral,Oportunidad de crecimiento económico,Sí,Más de 10 veces al año,El idioma,No trabajo para el exterior.,No trabajo para el exterior,"La educación formal no tiene incidencia en el proceso de selección, más allá de poder demostrar que se cuenta con un título de grado en carreras afines.",No trabajo para el exterior,Poder leer materiales técnicos
20,2022-09-15 09:45:37.517,fulltime,indef_sin_contrato,emp_local_cli_local,Industria,dev / software eng,hasta 2,Junior,Junior,Pre-grado (inicié la universidad pero no obtuve el título aún),Universidad privada del Paraguay,menor a 1000,"Seguro médico, Jubilación, 13er salario o aguinaldo, Equipos de trabajo (laptop, otros)",No trabajo para el exterior,Mobile Híbrido,no sé,Sí,Remuneración económica,Espacio para crecimiento profesional,No,3 a 5 veces al año,El idioma,No trabajo para el exterior.,No trabajo para el exterior,No he participado en procesos de selección para el exterior,No trabajo para el exterior,"Lo anterior más poder escribir sobre temas técnicos. (mails, chats, documentos)"
21,2022-09-15 09:47:03.165,fulltime,r_dependencia,emp_loc_cli_ext (puede tener también clientes en PY),dev. productos propios,dev / software eng,5.0,Semi-senior,Mid-level o Associate,Pre-grado (inicié la universidad pero no obtuve el título aún),Universidad privada del Paraguay,1000 - 1500,"13er salario o aguinaldo, Trabajo remoto, Trabajo híbrido (remoto y presencial)",Menor,Desarrollo web con php (backend y/o frontend),no sé,Sí,Ambiente laboral,Remuneración inmediata,Sí,6 a 10 veces al año,La experiencia previa,"En el mercado internacional, hay exigencias mayores para cada nivel de seniority.","Un perfil con alto nivel de especialización pero en un rol muy específico como frontend, backend, devops u otro.","La educación formal otorga las bases para tener éxito en una entrevista técnica, pero necesita ser complementada con la experiencia, cursos de especialización y/o test técnicos para entrevistas .","La falta de experiencia en escenarios muy demandantes por la complejidad, volumen de datos, nivel de concurrencia, nivel de formalismo u otros.","Poder expresarse plenamente sobre temas técnicos y del dominio del cliente, tanto en forma escrita como verbal. Comprender todo lo que escucha."
22,2022-09-15 09:48:35.104,fulltime,indef_sin_contrato,emp_ext_cli_ext,Sector financiero,Software Arch.,11 - 15,Senior,Senior,Maestría,Universidad Nacional de Asunción,2501 - 3000,"Seguro médico, 13er salario o aguinaldo, Vacaciones pagas, Flexibilidad horaria, Trabajo remoto, Días libres, Equipos de trabajo (laptop, otros)",Menor,Desarrollo backend con Java,menos de 5,Sí,Remuneración económica,Ambiente laboral,Sí,Más de 10 veces al año,El idioma,"En el mercado internacional, hay exigencias mayores para cada nivel de seniority.","Un perfil con alto nivel de especialización pero en un rol muy específico como frontend, backend, devops u otro.","La educación formal otorga las bases para tener éxito en una entrevista técnica, pero necesita ser complementada con la experiencia, cursos de especialización y/o test técnicos para entrevistas .",El idioma,Lo anterior más poder expresarse verbalmente sobre temas técnicos en forma breve y concisa. Entender casi todo lo que escucha.
23,2022-09-15 09:48:45.913,emprendimiento,emprendedor_c_clientes,emp_loc_cli_ext (puede tener también clientes en PY),soft. factory / intermediaria,Admin. / Gerencial,8.0,Principal,Principal,Grado,Universidad Nacional de Asunción,3501 - 4000,Trabajo remoto,Igual,Desarrollo backend con NodeJS,5 - 10,Sí,Oportunidad de crecimiento económico,Oportunidad de crecimiento económico,Sí,Más de 10 veces al año,La experiencia previa,"En el mercado internacional, hay exigencias mayores para cada nivel de seniority.","Un perfil con alto nivel de especialización pero en un rol muy específico como frontend, backend, devops u otro.","La educación formal otorga las bases para tener éxito en una entrevista técnica, pero necesita ser complementada con la experiencia, cursos de especialización y/o test técnicos para entrevistas .",El idioma,Lo anterior más poder expresarse verbalmente sobre temas técnicos en forma breve y concisa. Entender casi todo lo que escucha.
24,2022-09-15 09:51:00.019,fulltime,r_dependencia,emp_local_cli_local,Sector financiero,dev / software eng,4.0,Semi-senior,Senior,Pre-grado (inicié la universidad pero no obtuve el título aún),Universidad Nacional de Asunción,1501 - 2000,"Seguro médico, Jubilación, 13er salario o aguinaldo, Vacaciones pagas, Gimnasio ",No trabajo para el exterior,Mobile Híbrido,menos de 5,No,Desafíos,Remuneración inmediata,Sí,Más de 10 veces al año,El idioma,No trabajo para el exterior.,No trabajo para el exterior,"La educación formal no tiene incidencia en el proceso de selección, más allá de poder demostrar que se cuenta con un título de grado en carreras afines.",No trabajo para el exterior,No se necesita.
25,2022-09-15 09:51:24.456,fulltime,contrato_temporal,emp_ext_cli_ext (puede tener también clientes en PY),soft. factory / intermediaria,dev / software eng,10.0,Senior,Senior,Pre-grado (inicié la universidad pero no obtuve el título aún),Universidad Nacional de Asunción,3001 - 3500,"Seguro médico, 13er salario o aguinaldo, Vacaciones pagas, Trabajo remoto, Días libres, Equipos de trabajo (laptop, otros)",,Desarrollo backend con Java,más de 100,Sí,Estabilidad laboral,Oportunidad de crecimiento económico,Sí,Más de 10 veces al año,El idioma,"En el mercado internacional, hay exigencias mayores para cada nivel de seniority.","Un perfil con alto nivel de especialización pero en un rol muy específico como frontend, backend, devops u otro.","La educación formal no tiene incidencia en el proceso de selección, más allá de poder demostrar que se cuenta con un título de grado en carreras afines.","La falta de experiencia en escenarios muy demandantes por la complejidad, volumen de datos, nivel de concurrencia, nivel de formalismo u otros.","Poder expresarse plenamente sobre temas técnicos y del dominio del cliente, tanto en forma escrita como verbal. Comprender todo lo que escucha."
26,2022-09-15 09:51:57.833,fulltime,r_dependencia,emp_local_cli_local,Telefonía / Networking,Software Arch.,8.0,Semi-senior,Senior,Grado,Universidad Nacional de Asunción,1501 - 2000,"Seguro médico, Jubilación, 13er salario o aguinaldo, Vacaciones pagas, Flexibilidad horaria, Trabajo híbrido (remoto y presencial), Días libres, Equipos de trabajo (laptop, otros)",Mayor,"Back Java, front rect, nodejs y angular",menos de 5,Sí,Oportunidad de crecimiento económico,Ambiente laboral,Sí,Más de 10 veces al año,El idioma,No trabajo para el exterior.,No trabajo para el exterior,"La educación formal otorga las bases para tener éxito en una entrevista técnica, pero necesita ser complementada con la experiencia, cursos de especialización y/o test técnicos para entrevistas .",No trabajo para el exterior,Poder leer materiales técnicos
27,2022-09-15 09:52:12.502,fulltime,r_dependencia,emp_local_cli_local,dev. productos propios,Proj. Manager y/o Prog. Manager,10.0,Semi-senior,Senior,Grado,Universidad Nacional de Asunción,1501 - 2000,"Seguro médico, Jubilación, 13er salario o aguinaldo, Vacaciones pagas, Flexibilidad horaria, Trabajo remoto, Trabajo híbrido (remoto y presencial)",No trabajo para el exterior,Mobile Híbrido,menos de 5,Sí,Ambiente laboral,Espacio para crecimiento profesional,No,3 a 5 veces al año,El idioma,No trabajo para el exterior.,No trabajo para el exterior,No he participado en procesos de selección para el exterior,No trabajo para el exterior,Lo anterior más poder expresarse verbalmente sobre temas técnicos en forma breve y concisa. Entender casi todo lo que escucha.
28,2022-09-15 09:53:44.330,fulltime,contrato_temporal,emp_loc_cli_ext (puede tener también clientes en PY),soft. factory / intermediaria,QA,6.0,Mid-level o Associate,Mid-level o Associate,Grado,Universidad Nacional de Asunción,2001 - 2500,"13er salario o aguinaldo, Vacaciones pagas, Flexibilidad horaria, Trabajo remoto, Días libres, Equipos de trabajo (laptop, otros)",Igual,Herramientas de QA,5 - 10,Sí,Remuneración económica,Estabilidad laboral,Sí,3 a 5 veces al año,El idioma,"En el mercado internacional, hay exigencias mayores para cada nivel de seniority.","Un perfil con gran variedad de conocimientos, tal vez sin tanta especialización, pero con capacidad de hacer de todo un poco.","La educación formal otorga las bases para tener éxito en una entrevista técnica, pero necesita ser complementada con la experiencia, cursos de especialización y/o test técnicos para entrevistas .",Las diferencias culturales y las habilidades blandas que se esperan de mí,Lo anterior más poder expresarse verbalmente sobre temas técnicos en forma breve y concisa. Entender casi todo lo que escucha.
29,2022-09-15 09:59:28.542,fulltime,contrato_temporal,emp_ext_cli_ext (puede tener también clientes en PY),Industria,dev / software eng,5.0,Semi-senior,Semi-senior,Grado,Universidad Nacional de Asunción,1501 - 2000,"Vacaciones pagas, Flexibilidad horaria, Trabajo remoto, Días libres, Equipos de trabajo (laptop, otros)",Igual,Desarrollo backend con Java - Frontend Angular,21 - 30,Sí,Oportunidad de crecimiento económico,Ambiente laboral,Sí,3 a 5 veces al año,El idioma,"En el mercado internacional, hay exigencias mayores para cada nivel de seniority.","Un perfil con gran variedad de conocimientos, tal vez sin tanta especialización, pero con capacidad de hacer de todo un poco.","La educación formal otorga las bases para tener éxito en una entrevista técnica, pero necesita ser complementada con la experiencia, cursos de especialización y/o test técnicos para entrevistas .","La falta de experiencia en escenarios muy demandantes por la complejidad, volumen de datos, nivel de concurrencia, nivel de formalismo u otros.",Poder leer materiales técnicos
30,2022-09-15 10:04:41.292,fulltime,r_dependencia,emp_loc_cli_ext (puede tener también clientes en PY),Monitoreo de seguridad,Proj. Manager y/o Prog. Manager,más de 15,Principal,Senior,Grado,Universidad Nacional de Asunción,2001 - 2500,"Seguro médico, Jubilación, 13er salario o aguinaldo, Vacaciones pagas, Flexibilidad horaria, Días libres, Equipos de trabajo (laptop, otros)",Menor,.NET (web y/o desktop),menos de 5,No,Oportunidad de crecimiento económico,Ambiente laboral,Sí,Más de 10 veces al año,La experiencia previa,"En el mercado internacional, hay exigencias mayores para cada nivel de seniority.",No trabajo para el exterior,"La educación formal no tiene incidencia en el proceso de selección, más allá de poder demostrar que se cuenta con un título de grado en carreras afines.",No trabajo para el exterior,Poder leer materiales técnicos
31,2022-09-15 10:07:54.484,fulltime,indef_sin_contrato,emp_ext_cli_ext (puede tener también clientes en PY),soft. factory / intermediaria,QA,8.0,Senior,Senior,Grado,Universidad Nacional de Asunción,3501 - 4000,"Vacaciones pagas, Flexibilidad horaria, Trabajo remoto, Permisos por Maternidad/Paternidad, Capacitacion cursos/certificaciones/ingles, Desarrollo de carrera profesional",Mayor,"Tecnologias relacionadas a control de calidad/testing, testing en UI/Services/e2e/Performance/Pen",31 - 100,Sí,Estabilidad laboral,Espacio para crecimiento profesional,Sí,Más de 10 veces al año,La experiencia previa,"En el mercado internacional, hay exigencias mayores para cada nivel de seniority.","Un perfil con alto nivel de especialización pero en un rol muy específico como frontend, backend, devops u otro.","La educación formal otorga las bases para tener éxito en una entrevista técnica, pero necesita ser complementada con la experiencia, cursos de especialización y/o test técnicos para entrevistas .","La falta de experiencia en escenarios muy demandantes por la complejidad, volumen de datos, nivel de concurrencia, nivel de formalismo u otros.",Lo anterior más poder expresarse verbalmente sobre temas técnicos en forma breve y concisa. Entender casi todo lo que escucha.
32,2022-09-15 10:10:52.759,fulltime,indef_sin_contrato,emp_ext_cli_ext (puede tener también clientes en PY),soft. factory / intermediaria,dev / software eng,6.0,Senior,Senior,Grado,Universidad Nacional de Asunción,5001 - 6000,"Vacaciones pagas, Flexibilidad horaria, Trabajo remoto, Equipos de trabajo (laptop, otros)",No trabajo para el exterior,Mobile Android,21 - 30,Sí,Modalidad de trabajo remota o híbrida,Remuneración inmediata,Sí,Más de 10 veces al año,El conocimiento de tecnologías o metodologías específicas,"En el mercado internacional, hay exigencias mayores para cada nivel de seniority.","Un perfil con alto nivel de especialización pero en un rol muy específico como frontend, backend, devops u otro.",La educación formal es suficiente para tener éxito en una entrevista técnica.,La falta de experiencia en herramientas o metodologías específicas.,"Poder expresarse plenamente sobre temas técnicos y del dominio del cliente, tanto en forma escrita como verbal. Comprender todo lo que escucha."
